id,name,description,latitude,longitude,open_time,close_time,category,rating,price_level,price_average,price_currency,address
1,Handshake Speakeasy,"Bar clandestino al estilo Gatsby, mixología de autor.",19.422,-99.167,18:00,2:00,bar,4.8,$$$,250,MXN,"Calle Hamburgo 13, Juárez"
2,Hanky Panky,"Speakeasy escondido, coctelería de primer nivel.",19.4225,-99.1675,18:00,1:00,bar,4.7,$$$,230,MXN,"Calle Génova s/n, Juárez"
3,Kinky Bar,Ambiente animado con buena música y tragos.,19.4228,-99.168,17:00,2:00,bar,4.4,$$,150,MXN,"Calle Amberes 1, Juárez"
4,Rico Club,Boliche de 3 pisos con música variada y precios accesibles.,19.4232,-99.1672,20:00,3:00,bar,4.2,$$,120,MXN,"Calle Niza 45, Juárez"
5,Blow Bar,Bar festivo con ambiente neon y rooftop.,19.4215,-99.1685,19:00,3:00,bar,4.3,$$,140,MXN,"Calle de Niza 40, Juárez"
6,Nicho Bears & Bar,Bar LGBT con noches temáticas y ambiente relajado.,19.423,-99.1677,18:00,2:00,bar,4,$$,130,MXN,"Londres 182, Juárez"
7,Marikoteca Rainbow Bar,"Nightclub con múltiples zonas, ambiente LGBT.",19.4229,-99.1679,20:00,3:00,bar,4.1,$$,140,MXN,"Amberes 1, Juárez"
8,Touch Antro - Bar & Terrace,Club pop/reggaeton con karaoke y terraza.,19.4226,-99.1678,19:00,2:00,bar,4,$$,120,MXN,"Amberes 11, Juárez"
9,El Almacen,Bar con drag shows y ambiente alternativo.,19.4224,-99.1681,18:00,2:00,bar,4.1,$$,130,MXN,"Florencia 37-B, Juárez"
10,Cabaretito Fusión,Bar‑cabaret con shows drag y ambiente nocturno.,19.4227,-99.1674,19:00,3:00,bar,4.2,$$,135,MXN,"Londres 77, Juárez"
11,Bosque de Chapultepec,"Parque urbano con circuito de 1‑3 km (El Sope), ideal para correr al amanecer.",19.42,-99.184,5:00,19:30,lugar-trabajar,4.8,$,0,MXN,"Bosque de Chapultepec, Miguel Hidalgo, CDMX"
12,Paseo de la Reforma,"Vía emblemática para correr los domingos sin autos, recorrido de 10 km.",19.426,-99.1677,6:00,12:00,lugar-trabajar,4.7,$,0,MXN,"Av. Paseo de la Reforma, CDMX"
13,Parque México,"Parque de 1 km en Condesa, muy popular entre corredores urbanos.",19.4146,-99.1739,5:00,22:00,lugar-estudiar,4.6,$,0,MXN,"Av. México s/n, Col. Hipódromo, Condesa"
14,Viveros de Coyoacán,"Gran parque con pista de correr de 2 km, ideal para todos los niveles.",19.3476,-99.1621,5:00,19:00,lugar-trabajar,4.7,$,0,MXN,"Av. Universidad 2000, Coyoacán, CDMX"
15,Bosque de Tlalpan,Parque con múltiples rutas y pistas para corredores de fondo.,19.3048,-99.1832,5:00,17:00,lugar-trabajar,4.5,$,0,MXN,"Bosque de Tlalpan, Tlalpan, CDMX"
16,Parque Bicentenario,Parque urbano con loop de ~4 km y buena infraestructura.,19.489,-99.18,7:00,18:00,lugar-trabajar,4.4,$,0,MXN,"Av. 1ra. de Mayo, Azcapotzalco/Miguel Hidalgo, CDMX"
17,Parque Hundido,Parque en Benito Juárez con seis rutas pintadas y pistas bien cuidadas.,19.36,-99.161,6:00,20:00,lugar-trabajar,4.3,$,0,MXN,"Av. Insurgentes s/n, Benito Juárez, CDMX"
18,Cerro de la Estrella,Parque natural con senderos para trail running y buenas vistas.,19.33,-99.088,6:00,18:00,lugar-trabajar,4.2,$,0,MXN,"Cerro de la Estrella, Iztapalapa, CDMX"
19,Esquina Común,"Restaurante mexicano‑español clandestino con estrella Michelin, terraza en Condesa.",19.4106,-99.1654,18:00,23:00,restaurante,4.8,$$$,800,MXN,"Fernando Montes de Oca 86, Condesa"
20,Em,"Alta cocina mexicana con influencias japonesas, estrella Michelin en Roma.",19.416,-99.162,18:00,23:00,restaurante,4.7,$$$,900,MXN,"Tonalá 133, Roma Norte"
21,Rosetta,Cocina mexicana mediterránea (pasta y pan artesanal); estrella Michelin.,19.4148,-99.162,9:00,23:00,restaurante,4.9,$$$,900,MXN,"Colima 166, Roma Norte"
22,Contramar,"Especializado en mariscos frescos, bib gourmand Michelin en Roma.",19.428,-99.158,13:00,23:30,restaurante,4.6,$$$,700,MXN,"Durango 200, Roma Norte"
23,Takotl,"Comida mexicana contemporánea en Roma/Condesa, valorado en OpenTable.",19.4175,-99.169,13:00,22:00,restaurante,4.8,$$,500,MXN,"Alfonso Reyes 25, Condesa"
24,Nonna,"Restaurante italiano en Roma, excelente valoración en TripAdvisor.",19.421,-99.159,13:00,22:30,restaurante,4.6,$$,450,MXN,"Querétaro 164, Roma Norte"
25,Bulla Condesa,"Tapas y cocina española, top en TripAdvisor Condesa.",19.4165,-99.1695,13:00,23:00,restaurante,4.9,$$,500,MXN,"Av. Michoacán 87, Condesa"
26,Fonda Fina,"Cocina mexicana contemporánea, muy recomendado por OpenTable.",19.417,-99.1692,13:00,22:30,restaurante,4.6,$$,450,MXN,"Yucatán 175, Condesa"
27,Cantón Mexicali,"Comida cantonesa autentica en Condesa/Roma, precio alto.",19.4168,-99.1688,13:00,1:00,restaurante,4.7,$$$,600,MXN,"Álvaro Obregón 264, Condesa"
